Codigo;Nombre;Categoria;Proveedor;Stock;Costo;Precio;
7798121273023;Crema de manos Aloe y calendula BOTANIKA;Cosmetica natural;Fernanda - Alimentos Naturales;-2;0.00;9600.00;
818;Crema de manos calendula y karite 90grs OMS;Cosmetica natural;Frusan (Gerardo Lassalle);0;;1268.40;
778273660;Crema de Manos hands up BEL LAB;Cosmetica natural;Liliana pintofruta;-2;;2658.00;
18931;Crema Facial DIA (TODAS) Sentida Botanica;Cosmetica natural;Sentida botanica;-6;0.00;15000.00;
7798028623976;Crema fluida de limpieza 200 ml OMS;Cosmetica natural;Frusan (Gerardo Lassalle);-4;;11900.00;
822;Crema gel de limpieza profunda 100 ml OMS;Cosmetica natural;Frusan (Gerardo Lassalle);0;;400.80;
5474;Crema gel hidratante RUH NATURAL;Cosmetica natural;;-1;;4850.00;
2895;Crema hidratante (todas) BEED;Otros;BEED (Robson Bernardes);-4;;2433.60;
7798273660023;Crema Hidratante Natural Hydrame BEL LAB;Cosmetica natural;Liliana pintofruta;-1;;3425.99;
7798143230134;Crema humectante Aloe Vera 150 grs JUAL;Cosmetica natural;Frusan (Gerardo Lassalle);-8;0.00;6800.00;
126793;Crema humectante FLEUR DE LA VIE;Cosmetica natural;-;-32;0.00;21000.00;
824;crema manos Espino  WELEDA;Almacen;Frusan (Gerardo Lassalle);0;0.00;927.60;
12611;Crema Noche / Dia AL BOSQUE;Aceites;;-1;;32300.00;
826;Crema nutritiva pieles secas OMS;Cosmetica natural;Frusan (Gerardo Lassalle);0;;782.40;
827;Crema pañal calendula Weleda x 75 ml;Cosmetica natural;Frusan (Gerardo Lassalle);0;;1179.60;
